"Governo"|"MP_id"|"Nome deputado"|"Nome do cargo"|"Data de início"|"Data de fim"
"GC02"|3055|"Mário Sottomayor Cardia"|"Ministro da Educação e Cultura"|27-02-1978|27-08-1978
"GC02"|3068|"Raúl Junqueiro"|"Subsecretário de Estado Adjunto do Ministro da Educação e Cultura"|21-06-1978|27-08-1978
"GC02"|3601|"Rui Pena"|"Ministro da Reforma Administrativa"|30-01-1978|27-08-1978
"GC02"|3083|"Vitor Constâncio"|"Ministro das Finanças e Plano"|30-01-1978|27-08-1978
"GC02"||"Vítor Sá Machado"|"Ministro dos Negócios Estrangeiros"|30-01-1978|27-08-1978
"GC03"||"Alfredo Nobre da Costa"|"Primeiro-Ministro"|28-08-1978|20-11-1978
"GC03"||"Carlos Costa Freitas"|"Ministro Adjunto do Primeiro Ministro"|28-08-1978|20-11-1978
"GC03"||"Mário Firmino Miguel"|"Ministro da Defesa Nacional"|28-08-1978|20-11-1978
"GC03"||"José da Silva Lopes"|"Ministro das Finanças e Plano"|28-08-1978|20-11-1978
"GC03"||"António Gonçalves Ribeiro"|"Ministro da Administração Interna"|28-08-1978|20-11-1978
"GC03"|3054|"Mário Raposo"|"Ministro da Justiça"|28-08-1978|20-11-1978
"GC03"|2953|"Carlos Corrêa Gago"|"Ministro dos Negócios Estrangeiros"|28-08-1978|20-11-1978
"GC03"||"Apolinário Vaz Portugal"|"Ministro da Agricultura e Pescas"|28-08-1978|20-11-1978
"GC03"||"Fernando Santos Martins"|"Ministro da Indústria e Tecnologia"|28-08-1978|20-11-1978
"GC03"||"Pedro Pires de Miranda"|"Ministro do Comércio e Turismo"|28-08-1978|20-11-1978
"GC03"||"António da Costa Leal"|"Ministro do Trabalho"|28-08-1978|20-11-1978
"GC03"||"Carlos Lloyd Braga"|"Ministro da Educação e Cultura"|28-08-1978|20-11-1978
"GC03"||"Acácio Pereira Magro"|"Ministro dos Assuntos Sociais"|28-08-1978|20-11-1978
"GC03"||"Amílcar Marques"|"Ministro dos Transportes e Comunicações"|28-08-1978|20-11-1978
"GC03"||"João Almeida Pina"|"Ministro da Habitação e Obras Públicas"|28-08-1978|20-11-1978
"GC03"||"Carlos Moura Pulido"|"Subsecretário de Estado Adjunto do Ministro da Educação e Cultura"|07-09-1978|20-11-1978
"GC03"||"Ludovico Cândido"|"Subsecretário de Estado do Orçamento"|07-09-1978|20-11-1978
