"Governo"|"MP_id"|"Nome deputado"|"Nome do cargo"|"Data de início"|"Data de fim"
"GC03"|3054|"Mário Raposo"|"Ministro da Justiça"|28-08-1978|20-11-1978
"GC03"|2953|"Carlos Corrêa Gago"|"Ministro dos Negócios Estrangeiros"|28-08-1978|20-11-1978
"GC03"||"Apolinário Vaz Portugal"|"Ministro da Agricultura e Pescas"|28-08-1978|20-11-1978
"GC03"||"Fernando Santos Martins"|"Ministro da Indústria e Tecnologia"|28-08-1978|20-11-1978
"GC03"||"Pedro Pires de Miranda"|"Ministro do Comércio e Turismo"|28-08-1978|20-11-1978
"GC03"||"António da Costa Leal"|"Ministro do Trabalho"|28-08-1978|20-11-1978
"GC03"||"Carlos Lloyd Braga"|"Ministro da Educação e Cultura"|28-08-1978|20-11-1978
"GC03"||"Acácio Pereira Magro"|"Ministro dos Assuntos Sociais"|28-08-1978|20-11-1978
"GC03"||"Amílcar Marques"|"Ministro dos Transportes e Comunicações"|28-08-1978|20-11-1978
"GC03"||"João Almeida Pina"|"Ministro da Habitação e Obras Públicas"|28-08-1978|20-11-1978
"GC03"||"Carlos Moura Pulido"|"Subsecretário de Estado Adjunto do Ministro da Educação e Cultura"|28-08-1978|20-11-1978
"GC03"||"Ludovico Cândido"|"Subsecretário de Estado do Orçamento"|28-08-1978|20-11-1978
"GC04"|3273|"Carlos Mota Pinto"|"Primeiro-Ministro"|21-11-1978|30-07-1979
"GC04"||"Álvaro Monjardino"|"Ministro Adjunto do Primeiro Ministro"|21-11-1978|30-07-1979
"GC04"||"José Alberto Loureiro dos Santos"|"Ministro da Defesa Nacional"|21-11-1978|30-07-1979
"GC04"||"Manuel Jacinto Nunes"|"Ministro das Finanças e Plano"|21-11-1978|30-07-1979
"GC04"||"Manuel Jacinto Nunes"|"Vice Primeiro-Ministro de Assuntos Económicos e Integração Europeia"|21-11-1978|30-07-1979
"GC04"||"António Gonçalves Ribeiro"|"Ministro da Administração Interna"|21-11-1978|30-07-1979
"GC04"||"Eduardo Silva Correia"|"Ministro da Justiça"|21-11-1978|30-07-1979
"GC04"||"João de Freitas Cruz"|"Ministro dos Negócios Estrangeiros"|21-11-1978|30-07-1979
"GC04"||"Apolinário Vaz Portugal"|"Ministro da Agricultura e Pescas"|21-11-1978|30-07-1979
"GC04"|9|"Álvaro Barreto"|"Ministro da Indústria e Tecnologia"|21-11-1978|30-07-1979
"GC04"||"Abel Repolho Correia"|"Ministro do Comércio e Turismo"|21-11-1978|30-07-1979
"GC04"||"Eusébio Marques de Carvalho"|"Ministro do Trabalho"|21-11-1978|30-07-1979
"GC04"|376|"Luís Valente de Oliveira"|"Ministro da Educação e Investigação Científica"|21-11-1978|30-07-1979
"GC04"||"Acácio Pereira Magro"|"Ministro dos Assuntos Sociais"|21-11-1978|30-07-1979
"GC04"||"José Marques da Costa"|"Ministro dos Transportes e Comunicações"|21-11-1978|30-07-1979
"GC04"||"João Almeida Pina"|"Ministro da Habitação e Obras Públicas"|21-11-1978|30-07-1979
"GC04"||"Daniel Proença de Carvalho"|"Ministro do Comunicação Social"|21-11-1978|30-07-1979
"GC04"||"José Lima de Carvalho"|"Subsecretário de Estado Adjunto do Ministro da Agricultura e Pescas"|21-11-1978|30-07-1979
"GC04"|3572|"Carlos Alberto Rosa"|"Subsecretário de Estado Adjunto do Ministro da Educação e Investigação Científica"|21-11-1978|30-07-1979
"GC04"||"António Daniel"|"Subsecretário de Estado da Administração Escolar"|21-11-1978|30-07-1979
"GC04"||"António Joaquim Carvalho"|"Subsecretário de Estado do Orçamento"|21-11-1978|30-07-1979
"GC05"||"Maria de Lurdes Pintasilgo"|"Primeiro-Ministro"|31-07-1079|
"GC05"||"Manuel da Costa Brás"|"Ministro Adjunto para a Administração Interna"|31-07-1079|
"GC05"||"Alfredo Bruto da Costa"|"Ministro da Coordenação Social e dos Assuntos Sociais"|31-07-1079|
"GC05"||"Alfredo Bruto da Costa"|"Ministro dos Assuntos Sociais"|31-07-1079|
"GC05"||"José Alberto Loureiro dos Santos"|"Ministro da Defesa Nacional"|31-07-1079|
"GC05"||"João de Freitas Cruz"|"Ministro dos Negócios Estrangeiros"|31-07-1079|
"GC05"||"Pedro Sousa Macedo"|"Ministro da Justiça"|31-07-1079|
"GC05"|3526|"António Sousa Franco"|"Ministro das Finanças"|31-07-1079|
"GC05"|2953|"Carlos Corrêa Gago"|"Ministro da Coordenação Económica e do Plano"|31-07-1079|
"GC05"|3805|"Joaquim da Silva Lourenço"|"Ministro da Agricultura e Pescas"|31-07-1079|
"GC05"||"Fernando Videira"|"Ministro da Indústria"|31-07-1079|
"GC05"||"Acácio Pereira Magro"|"Ministro do Comércio e Turismo"|31-07-1079|
"GC05"||"Jorge Sá Borges"|"Ministro do Trabalho"|31-07-1079|
"GC05"||"Frederico Monteiro da Silva"|"Ministro dos Transportes e Comunicações"|31-07-1079|
"GC05"||"Mário de Azevedo"|"Ministro da Habitação e Obras Públicas"|31-07-1079|
"GC05"||"Luís Veiga da Cunha"|"Ministro da Educação"|31-07-1079|
"GC05"||"João Figueiredo"|"Ministro da Comunicação Social"|31-07-1079|
"GC05"||"José Lima de Carvalho"|"Subsecretário de Estado Adjunto do Ministro da Agricultura e Pescas"|31-07-1079|
"GC05"||"José Varela Pinto"|"Subsecretário de Estado Adjunto do Ministro dos Transportes e Comunicações"|31-07-1079|
"GC05"||"Adérito Sedas Nunes"|"Ministro da Coordenação Cultural, Cultura e Ciência"|07-08-1079|
"GC05"||"Adérito Sedas Nunes"|"Ministro da Cultura e Ciência"|07-08-1079|
"GC06"|||||08-01-1981
"GC06"|||||08-01-1981
"GC06"|||||08-01-1981
"GC06"|||||08-01-1981
"GC06"|||||08-01-1981
"GC06"|||||08-01-1981
"GC06"|||||08-01-1981
"GC06"|||||08-01-1981
"GC06"|||||08-01-1981
"GC06"|||||08-01-1981
"GC06"|||||08-01-1981
"GC06"|||||08-01-1981
"GC07"|3158|"Francisco Pinto Balsemão"|"Primeiro-Ministro"|09-01-1981|03-09-1981
