537,Frederico José de Moniz de Almeida Páscoa,2010-08-07 00:30:51
538,Luís Filipe Marques Amado,2010-08-07 00:30:53
539,Rita Maria Dias Pestana Cachuxo,2010-08-07 00:30:54
540,Sérgio Juvenal de Jesus Abreu,2010-08-07 00:30:55
541,Luís Alberto Geraldo Faria Paulino,2010-08-07 00:30:57
542,Maria Isabel Ferreira Coelho de Sena Lino,2010-08-07 00:30:58
543,Tomás Lopes de Almeida,2010-08-07 00:30:59
544,Esmeralda das Neves Alves Galvão,2010-08-07 00:31:00
545,José Jorge Munhoz Frade,2010-08-07 00:31:02
546,António Manuel dos Santos Murteira,2010-08-07 00:31:03
547,José Joaquim Coutinho Correia de Araújo Carvalho,2010-08-07 00:31:04
548,Orlando Romao Chaço,2010-08-07 00:31:05
549,Miguel Domingos Condeça Ramalho,2010-08-07 00:31:06
550,João Carlos Durão Lopes Saraiva,2010-08-07 00:31:07
551,Abílio Miguel Joaquim Dias Fernandes,2010-08-07 00:31:09
552,Ana Paula Lopes da Silva Damas Fitas,2010-08-07 00:31:10
553,José Maria Rodrigues Figueira,2010-08-07 00:31:15
554,José Francisco Barros de Carvalho,2010-08-07 00:31:16
555,Domingos Abrantes Ferreira,2010-08-07 00:31:17
556,Maria Amélia de Jesus Pardal,2010-08-07 00:31:18
557,João Camilo Vieira Carvalhal Gonçalves,2010-08-07 00:31:20
558,Maria Helena do Carmo Guilherme Bastos,2010-08-07 00:31:21
559,Daniel dos Reis Branco,2010-08-07 00:31:22
560,Blasco Hugo Correia Fernandes,2010-08-07 00:31:23
561,Florival Rosa Lança,2010-08-07 00:31:35
562,António Simões de Abreu,2010-08-07 00:31:36
563,António José Ganhão,2010-08-07 00:31:37
564,Luís Carlos Martins Peixoto,2010-08-07 00:31:38
565,Vicente Carlos Flor Batalha,2010-08-07 00:31:40
566,Fernanda Maria Ferreira de Carvalho Pinto,2010-08-07 00:31:41
567,Amândio Braulino Freitas,2010-08-07 00:31:42
568,Raúl Fernandes de Morais e Castro,2010-08-07 00:31:43
569,Maria Ilda da Costa Figueiredo,2010-08-07 00:31:44
570,Vitor Manuel Rodrigues Ranita,2010-08-07 00:31:46
